dimension,feature,correlation
PCoA_Dim1,Suspenseful atmosphere,0.8065814503703831
PCoA_Dim1,Somber atmosphere,0.7656967266662544
PCoA_Dim1,Psychological Suspense,0.7359184758443753
PCoA_Dim1,Heightened Tension,0.7342161270199686
PCoA_Dim1,Dismal and unsettling tone,0.7231900071404884
PCoA_Dim1,Ominous and Chilling,0.713003027787749
PCoA_Dim1,Unsettling,0.7029998420814773
PCoA_Dim1,Happy Ending,-0.6803611169872662
PCoA_Dim1,"Positive, Uplifting Emotional Tone",-0.675238004100211
PCoA_Dim1,Melancholy Atmosphere,0.6636762904629597
PCoA_Dim1,Hostile Gloom,0.6566837108518965
PCoA_Dim1,Feel-Good Narrative,-0.6523711515264174
PCoA_Dim1,Positive Emotional Tone,-0.6502451714821756
PCoA_Dim1,Heartfelt and Hopeful,-0.6159937285084593
PCoA_Dim1,Psychological Crime,0.6067618616222912
PCoA_Dim1,Joyful Emotional Expression,-0.6053647830853115
PCoA_Dim1,Somber and Eerie Tone,0.6017134329417669
PCoA_Dim1,Psychological Distress,0.5980721334852206
PCoA_Dim1,Violent Crimes,0.5976459532144122
PCoA_Dim1,Sad Ending,0.5661436074414326
PCoA_Dim1,Profound & Reflective,0.5599327957867621
PCoA_Dim1,All-ages,-0.557740250064006
PCoA_Dim1,Explicit Violence and Goriness,0.5564047786487122
PCoA_Dim1,Charming protagonist,-0.5517428909771592
PCoA_Dim1,Situational Humor,-0.5466708796361083
PCoA_Dim1,Uneasy Characters,0.5459670770223088
PCoA_Dim1,Emotionally Withdrawn Protagonist,0.5412007299656334
PCoA_Dim1,Positive and Sentimental,-0.5345723197711107
PCoA_Dim1,Built Around Humor,-0.5266864633251643
PCoA_Dim1,Psychological Manipulation,0.5199546729924198
PCoA_Dim1,Comedic Protagonist,-0.5192474895105055
PCoA_Dim1,A Focus on Mood,0.5187215925045895
PCoA_Dim1,Intellectually Stimulating,0.515689699478544
PCoA_Dim1,Intended Fright Response,0.5114705559186804
PCoA_Dim1,A Crime Thriller,0.5053046108737765
PCoA_Dim1,Unexpected Conclusion,0.5045887680184848
PCoA_Dim1,Deceptive Appearances,0.4949538258242414
PCoA_Dim1,Psychologically Unstable Protagonist,0.4915866184930011
PCoA_Dim1,Polished and cohesive script,-0.487506982036963
